,_RAJ2000,_DEJ2000,WDS,Name,HD,HIP,Date,PA,Sep,Dmag,Wave,FWHM,f_FWHM,SimbadName,_RA,_DE,Simbad plx,GAIA plx,V,R,J,H,K
659,15 48 53.0872,+23 14 29.568,15489+2314,BD+23 2862 ,141529, 77459,2007.4177,281.6,0.615, 3.31,698,39, ,HIP  77459,237.2212,23.24155,12.95,15.49876871927777,6.388999938964844,,4.809000015258789,4.3359999656677255,4.172999858856201
660,15 52 08.2357,+10 52 28.129,15521+1052,BD+11 2874 ,      , 77725,2007.3304,242.4,0.11199999999999999, 0.63,698,39, ,HIP  77725,238.03432,10.87448,14.2459,14.245939104560563,8.569999694824219,,7.449999809265138,7.172999858856201,7.085000038146973
665,16 03 49.3106,+14 06 28.644,16038+1406,BD+14 2988 ,      , 78688,2007.3248,357.2,0.528, 3.08,550,40, ,HIP  78688,240.95546000000002,14.10796,1.4301,1.4301360181906349,7.760000228881836,,5.929999828338622,5.388999938964844,5.250999927520752
667,16 05 53.4077,+10 41 06.027,16059+1041,BD+11 2910 ,144515, 78864,2007.3304,199.0,0.449, 1.05,698,39, ,HIP  78864,241.47252999999998,10.68501,,,,,,,
669,16 08 39.3893,+22 12 13.774,16087+2212,BD+22 2928 ,145146, 79091,2007.4232,81.7,1.242,     ,754,44, ,HIP  79091,242.16412000000003,22.20383,7.7896,7.789612996870557,6.9099998474121085,,5.046000003814697,4.498000144958496,4.385000228881837
671,16 15 14.9689,+34 42 47.401,16152+3443,BD+35 2798 ,146489, 79651,2008.4663,165.1,0.366, 4.24,754,44, ,HIP  79651,243.81237000000002,34.71317,4.4677,4.467690038203943,7.610000133514403,,5.889999866485597,5.432000160217285,5.326000213623047
672,16 17 45.9654,+31 48 15.784,16178+3148,BD+32 2702 ,146946, 79837,2007.4259,127.7,0.196, 2.96,550,40, ,HIP  79837,244.44152000000003,31.80438,1.0199,1.0198984427365223,7.170000076293945,,6.310999870300293,6.171999931335449,6.11899995803833
673,16 20 34.9796,+45 34 45.076,16206+4535,BD+45 2394 ,147544, 80074,2007.3221,318.2,0.177, 3.16,754,44, ,HIP  80074,245.14575,45.579190000000004,29.4005,29.400533889805605,5.24,,4.256,4.163,4.1419999999999995
676,16 24 48.0710,+44 41 23.795,16248+4441,BD+45 2400 ,148253, 80414,2008.4607,16.9,0.053, 3.02,550,40,a,HIP  80414,246.2003,44.68994,,,,,,,
677,16 25 14.1762,+46 52 06.871,16252+4652,BD+47 2339 ,      , 80441,2007.3221,287.4,0.608, 4.21,754,44, ,HIP  80441,246.30907000000002,46.86858,28.5,27.428225174682716,,7.13,5.0969999999999995,4.904,4.794
678,16 27 12.2463,+18 59 38.930,16272+1900,BD+19 3102 ,148415, 80584,2007.3304,236.0,0.3, 3.25,698,39, ,HIP  80584,246.80102999999997,18.99415,10.555,10.55501358497758,7.3400001525878915,,6.578999996185303,6.426000118255615,6.35699987411499
679,16 30 22.5479,+40 44 11.991,16304+4044,BD+41 2715 ,149025, 80827,2007.3222,275.9,0.5489999999999999, 3.39,754,44, ,HIP  80827,247.59395,40.73666,,,,,,,
681,16 31 28.2275,+72 36 44.411,16315+7237,BD+72 734  ,150010, 80920,2008.4664,174.5,1.0,     ,754,44, ,HIP  80920,247.86761,72.61234,17.0247,17.024718265228714,7.289999961853027,,6.181000232696532,5.870999813079834,5.797999858856201
683,16 38 04.0297,+39 34 37.986,16381+3935,BD+39 3021 ,150255, 81445,2008.4608,324.9,0.575, 3.56,550,40, ,HIP  81445,249.51679,39.577220000000004,15.05,,8.29,,7.103,6.84,6.7410000000000005
685,16 38 19.2269,-22 53 34.449,16383-2254,BD-22 4182 ,149866, 81464,2008.4608,252.6,1.067,     ,550,40, ,HIP  81464,249.58011000000002,-22.8929,25.67,23.891613015659825,7.01800012588501,,5.883999824523926,5.63700008392334,5.559999942779541
686,16 41 21.5058,+30 16 23.273,16414+3016,BD+30 2861 ,150681, 81704,2008.4637,154.3,0.857,     ,698,39, ,HIP  81704,250.33961000000002,30.27313,,,,,,,
687,16 45 46.4670,-00 45 54.500,16458-0046,ADS 10196  ,151168, 82062,2007.3249,8.0,0.198, 0.48,550,40,a,HIP  82062,251.44361,-0.7651399999999999,60.59,,5.16,,4.109,3.695,3.73
690,16 58 25.3140,+13 58 10.690,16584+1358,GJ 3981    ,      ,      ,2008.4664,294.2,0.8220000000000001, 0.48,754,44, ,GJ 3981   ,254.60547000000003,13.96964,2.2919,2.2919390042958137,8.319999694824219,,7.46999979019165,7.320000171661378,7.2810001373291025
691,17 03 25.5127,+09 01 28.422,17034+0902,BD+09 3317 ,154144, 83458,2007.3249,98.3,0.315, 3.06,550,40, ,HIP  83458,255.8563,9.024560000000001,25.18,,5.764999866485597,,5.031000137329102,4.8959999084472665,4.757999897003174
694,17 07 29.9927,+38 10 20.657,17075+3810,BD+38 2885 ,155039, 83791,2007.3222,119.5,0.26, 0.83,754,44, ,HIP  83791,256.87497,38.1724,,,,,,,
696,17 07 40.8530,+07 22 06.700,17077+0722,GJ 1210    ,      ,      ,2008.4664,88.0,0.20600000000000002, 0.97,754,44, ,GJ 1210   ,256.92022000000003,7.368530000000001,,,,,,,
697,17 08 02.0650,+35 56 06.630,17080+3556,ADS 10360  ,155103, 83838,2007.3222,326.4,0.065, 0.11,754,44, ,HIP  83838,257.0086,35.93517,,,,,,,
699,17 12 07.9117,+45 39 57.216,17121+4540,BD+45 2505 ,155876, 84140,2007.4262,263.8,0.976,     ,550,40, ,HIP  84140,258.03297000000003,45.665890000000005,16.52,5.412281190176317,,6.9000000953674325,6.135000228881836,5.888000011444093,5.796999931335449
700,17 15 28.8985,+10 51 36.041,17155+1052,BD+11 3146 ,156146, 84417,2007.4206,239.0,0.13699999999999998, 0.44,550,40,a,HIP  84417,258.87041,10.86001,,,,,,,
702,17 17 34.6878,+10 24 58.912,17176+1025,BD+10 3177 ,156498, 84595,2007.4207,276.6,0.131, 1.26,550,40, ,HIP  84595,259.39453,10.416360000000001,5.79,,6.732,,6.465,6.472,6.439
704,17 17 40.2543,+37 17 29.399,17177+3717,HR 6436    ,156729, 84606,2007.3222,143.2,0.9209999999999999,     ,754,44, ,HIP  84606,259.41773,37.2915,,,,,,,
706,17 21 43.6157,+39 58 28.773,17217+3958,HR 6469    ,157482, 84949,2007.3222,205.4,0.054000000000000006, 0.73,754,44,a,HIP  84949,260.43172999999996,39.97466,22.6355,22.635542164744958,9.039999961853027,,7.9130001068115225,7.607999801635742,7.578999996185303
709,17 21 54.7469,+12 29 59.188,17219+1230,BD+12 3202 ,157296, 84962,2008.4637,84.7,0.38799999999999996, 0.83,698,39, ,HIP  84962,260.47811,12.49977,,,,,,,
710,17 24 57.1697,+43 06 18.025,17250+4306,BD+43 2730 ,158046, 85230,2007.4179,327.5,0.998,     ,698,39, ,HIP  85230,261.23821,43.10501,,,,,,,
715,17 25 26.3051,-08 49 42.652,17254-0850,BD-08 4437 ,157744, 85273,2007.4207,339.8,0.693, 4.55,550,40, ,HIP  85273,261.3596,-8.828510000000001,,,,,,,
716,17 28 35.7894,+51 21 40.537,17286+5122,BD+51 2218 ,158821, 85518,2007.4262,93.3,0.28, 2.18,550,40, ,HIP  85518,262.14912000000004,51.361259999999994,12.5,12.822086513296227,7.26,,6.184,5.9110000000000005,5.858
717,17 34 36.6941,+09 35 12.120,17346+0935,HR 6548    ,159480, 85998,2008.461,287.0,0.361, 4.26,550,40, ,HIP  85998,263.65289,9.5867,9.9842,9.984245890952096,7.800000190734862,,6.877999782562256,6.671000003814697,6.605999946594237
