System number,Orbit number for that system,Period (d),error on P (d),Periastron time (JD-2400000),error on Periastron time,Flag on periastron time,eccentricity,error on eccentricity,argument of periastron (deg),error on omega,K1 (km/s),error on K1 (km/s),K2 (km/s),error on K2 (km/s),systemic velocity (km/s),error on V0 (km/s),rms RV1 (km/s),rms RV2 (km/s),RV1,RV2,Grade,Bibcode,Contributor,Accessibility,Reference adopted for the times (JD or MJD),Sp1,Sp2,radec,Simbad plx,GAIA plx,V,R,J,H,K,name
312,1,35.5,,30000.0,,9,0.0,,0.0,,28.0,,,,19.0,,,,,,1.0,1963ApJnan137..791B,DAO,PUB,JD,B5V,,052148416+41481646,4.9578,4.562751287869999,6.329999923706055,,6.111000061035156,6.076000213623048,6.058000087738037,HD 34759
313,1,5.4337,,28203.121,,0,0.08,,74.6,,26.8,,,,5.8,,,,,,2.0,1944JRASC..38..963S,DAO,PUB,JD,B8V,,052059334+27572614,10.0465,,5.670000076293945,,5.526000022888184,5.556000232696533,5.519000053405762,HD 34762
314,1,2.1517,,21140.396,,10,0.0,,0.0,,113.3,,129.8,,-19.7,,,,,,3.0,1926PDAOnan.3..265H,DAO,PUB,JD,A2V,,052112687+29341158,5.4154,5.482140150479999,9.779999732971193,,8.807999610900879,8.604000091552733,8.498000144958496,HD 34790
315,1,6.9369,,44947.894,,1,0.07,,314.0,,73.2,,75.5,,-7.0,,,,,,3.0,1986AJnan..91..383P,DAO,PUB,JD,G0V,,052009147+02023997,2.8672,,4.739999771118164,4.789999961853027,5.079999923706055,5.235000133514403,5.21999979019165,HD 287727
316,1,293.0,,42175.0,,0,0.15,,234.0,,4.1,,,,27.9,,,,,,1.0,1978ApJSnan36..241A,DAO,PUB,JD,B2IV-V,,052145748-00225688,2.6848,2.13701487056,7.070000171661378,7.039999961853027,7.10099983215332,7.14300012588501,7.168000221252441,HD 35039
317,1,9.807,,45247.05,,0,0.67,,313.0,,71.0,,,,34.0,,,,,,1.0,1983RMxAAnan8..115M,DAO,PUB,JD,B4V,,052158284-02574932,1.8625,1.9121077004499998,8.600000381469728,,8.52400016784668,8.545999526977539,8.538999557495117,HD 35079
318,1,3.431,,40205.687999999995,,0,0.14,,225.5,,110.4,,145.8,,-7.1,,,,,,3.0,1972PASPnan84..519H,DAO,PUB,JD,B8,B9,052946910+69294536,3.34,,3.35,3.44,3.76,3.84,3.9,HD 35311
319,1,7.9841,,15839.716999999999,,10,0.0,,0.0,,145.2,,,,35.9,,,,,,3.0,1971AJnan..76..544L,DAO,PUB,JD,B1V,,052428617-02234973,3.34,,3.35,3.44,3.76,3.84,3.9,HD 35411
320,1,3360.23,,15020.3,,10,0.1,,270.0,,17.5,,,,19.5,,,,,,2.0,1928ApJnan.68..309P,DAO,PUB,JD,B1V,,052428617-02234973,2.8528,,6.144000053405763,,6.5310001373291025,6.5939998626708975,6.5980000495910645,HD 35411
321,1,2.8884,,33202.34,,0,0.12,,198.8,,71.2,,,,16.8,,,,,,3.0,1953JOnan..36nan30D,DAO,PUB,JD,B3V,,052547019+00311288,0.4786,,8.390000343322754,,7.627999782562256,7.6040000915527335,7.5900001525878915,HD 35588
