System number,Orbit number for that system,Period (d),error on P (d),Periastron time (JD-2400000),error on Periastron time,Flag on periastron time,eccentricity,error on eccentricity,argument of periastron (deg),error on omega,K1 (km/s),error on K1 (km/s),K2 (km/s),error on K2 (km/s),systemic velocity (km/s),error on V0 (km/s),rms RV1 (km/s),rms RV2 (km/s),RV1,RV2,Grade,Bibcode,Contributor,Accessibility,Reference adopted for the times (JD or MJD),Sp1,Sp2,radec,Simbad plx,GAIA plx,V,R,J,H,K,name
3501,1,56978.0,,58411.0,85.0,0,0.386,0.011000000000000001,282.7,1.1,3.36,0.89,5.72,0.64,-3.13,0.3,0.21,0.18,0.0,0.0,,2015AJnan.149nan.8T,,PUB,JD,G0V,,12014609571-3439011429,,,,9.46,8.099,7.954,7.902,HD 104471
3502,1,13.200999999999999,0.01,54607.06,0.04,0,0.23800000000000002,0.005,298.4,1.0,46.25,0.29,59.25,0.37,-11.65,0.11,0.04,0.16,7.0,7.0,,2015AJnan.149..195T,,PUB,JD,F0V,,221031689-23331458,,,7.23,,,,,HD 210379
3503,1,170.304,0.013000000000000001,52746.8,1.48,0,0.135,0.008,297.6,3.2,8.08,0.07,,,21.16,0.04,0.43,,87.0,0.0,,2015AJnan.149..195T,,PUB,JD,G1V,,10370001-0850237,9.5053,9.57771229312,7.4099998474121085,,,,,HD 91962
3504,1,45.533,0.028999999999999998,55798.52,0.91,0,0.6459999999999999,0.017,323.6,2.5,10.26,0.3,,,-28.36,0.13,0.8,,42.0,,,2016AJnan.151nan26F,FKL,PUB,JD,A9mV,,00121394+3954057,15.5557,,6.9099998474121085,,6.302000045776367,6.171000003814697,6.138000011444093,HD 776
3505,1,126.664,0.04,55008.99,3.06,0,0.092,0.016,332.8,8.7,11.13,0.18,,,-3.83,0.12,1.1,,106.0,,,2016AJnan.151nan26F,FKL,PUB,JD,F1V,,01063762+0821361,9.5066,10.5377773811,6.949999809265138,,6.3470001220703125,6.251999855041504,6.190999984741211,HD 6568
3506,1,697.51,0.9,54546.0,13.4,0,0.08900000000000001,0.013999999999999999,280.3,7.1,15.89,0.2,,,12.81,0.14,1.3,,101.0,,,2016AJnan.151nan26F,FKL,PUB,JD,F1IV,,03115887+4607430,14.2407,,7.670000076293945,,6.98799991607666,6.872000217437744,,HD 19684
3507,1,1163.4,1.6,55219.9,72.2,0,0.0124,0.0055,21.7,22.3,7.125,0.034,,,-7.386,0.024,0.3,,124.0,,,2016AJnan.151nan26F,FKL,PUB,JD,F2V,,07450415+4823404,3.3818,,11.239999771118164,,9.895000457763672,9.531999588012695,9.409000396728516,HD 62196
3508,1,2.22857242,,56432.6139,0.0005,0,0.0,,0.0,,95.67,0.14,120.85,0.37,17.64,0.1,0.8,2.1,55.0,55.0,5.0,2016AJnan.152nan.2L,FKL,PUB,JD,F5,K5e,041457760+31264404,49.5,,6.22,,,,,GAIADR2 166437168205381376
3510,1,211.76,0.17,56372.6,2.7,0,0.21,0.016,142.9,4.9,3.102,0.057,,,48.417,0.038,0.27,,60.0,,,2016AJnan.152nan46W,FKL,PUB,JD,G3V,K0V,08390790110-2239428110,24.9028,,5.809999942779541,5.400000095367432,5.019999980926514,4.619999885559082,4.491000175476074,HD 73752
3512,1,6528.0,43.0,53738.0,102.0,0,0.07200000000000001,0.012,230.7,5.5,4.559,0.028999999999999998,,,-10.539000000000001,0.027000000000000003,0.13,,60.0,,,2016AJnan.152nan46W,FKL,PUB,JD,G2III/IV,,11410839919-2911465812,53.8785,,6.429999828338622,,5.53000020980835,4.828999996185303,4.664999961853027,HD 101563
3513,1,3827.3,7.0,54923.0,12.0,0,0.3586,0.0056,140.3,1.3,6.276,0.05,,,5.242000000000001,0.027999999999999997,0.16,,68.0,,,2016AJnan.152nan46W,FKL,PUB,JD,G5+V,,13512032799-2423253326,8.5524,,5.964000225067139,,4.504000186920166,3.953999996185303,3.92300009727478,HD 120690
3514,1,1778.6,7.8,53299.0,20.0,0,0.501,0.023,302.0,3.6,1.611,0.055,,,-13.019,0.027999999999999997,0.16,,67.0,,,2016AJnan.152nan46W,FKL,PUB,JD,K0III,,13494550563+6129215269,6.8276,7.565841834339999,6.460000038146973,,4.78000020980835,4.230000019073486,4.0910000801086435,HD 120787
3515,1,4204.0,10.0,55695.0,14.0,0,0.3898,0.0086,166.6,2.1,4.704,0.061,,,-87.507,0.064,0.16,,55.0,,,2016AJnan.152nan46W,FKL,PUB,JD,K0III,,19375671330+4917039024,45.7423,,6.960000038146973,6.583000183105469,5.710000038146973,5.377999782562256,5.311999797821045,HD 185657
3516,1,164.278,0.013999999999999999,55873.96,0.12,0,0.5919,0.0026,1.01,0.37,7.011,0.33,,,-19.044,0.015,0.12,,78.0,,,2016AJnan.152nan46W,FKL,PUB,JD,G6V,,20431599884-2925260788,26.2512,,,5.599999904632568,4.849999904632568,4.685999870300293,4.576000213623047,HD 197214
3517,1,1975.76,0.94,51004.2,4.2,0,0.3937,0.0047,14.22,0.83,10.585,0.061,,,-19.873,0.036000000000000004,0.15,,65.0,,,2016AJnan.152nan46W,FKL,PUB,JD,F8V,,21052671378+0557295655,37.4167,,5.869999885559082,,4.776000022888184,4.526000022888184,4.40500020980835,HD 200790
3509,1,257.31,0.22,56143.16,0.98,0,0.626,0.013000000000000001,128.0,3.1,5.13,0.13,,,-2.129,0.07400000000000001,0.44,,38.0,,,2016AJnan.152nan46W,FKL,PUB,JD,G2V,G3V,222634300-16443190,51.55,,5.17,6.38,4.05,3.594,3.589,HD 212698
3511,1,929.91,0.46,53293.9,3.2,0,0.4358,0.0062,188.5,1.1,5.06,0.054000000000000006,,,-16.11,0.025,0.16,,52.0,,,2016AJnan.152nan46W,FKL,PUB,JD,F7V,,22263738437+0423375672,23.2136,,6.440000057220459,,5.314000129699707,5.084000110626222,4.934999942779541,HD 212754
3518,1,19.37128,5e-05,56938.5994,0.0211,0,0.1028,0.0009,242.75,0.4,36.45,0.04,43.32,0.05,0.0,,0.12,0.15,19.0,17.0,,2016AJnan.152nan11T,,PUB,JD,G1V,,01375556381-8258299889,37.4167,,5.869999885559082,,4.776000022888184,4.526000022888184,4.40500020980835,HD 10800
3519,1,638.66616,0.00047000000000000004,56903.4035,0.0026,0,0.1912,0.0018,151.16,0.58,9.103,0.026000000000000002,17.913,0.053,-1.65,0.02,0.074,0.123,19.0,20.0,,2016AJnan.152nan11T,,PUB,JD,G1V,,01375556381-8258299889,14.09,,,,6.603,6.364,6.242000000000001,HD 10800
3520,1,14.09044,0.00031,56974.1974,0.006,0,0.3259,0.0009,18.84,0.2,41.86,0.05,48.56,0.06,0.0,,0.04,0.04,9.0,9.0,,2016AJnan.152nan11T,,PUB,JD,G1V?,,02535114948-4436203795,14.09,,,,6.603,6.364,6.242000000000001,HD 18198
3521,1,18794.0,301.0,54190.0,49.0,0,0.774,0.013000000000000001,16.2,1.76,3.98,0.61,9.93,0.7,18.61,0.11,0.03,0.03,10.0,9.0,,2016AJnan.152nan11T,,PUB,JD,G1V?,,02535114948-4436203795,21.1326,,6.800000190734862,,5.749000072479247,5.519999980926514,5.401000022888184,HD 18198
3522,1,5.63098,0.00032,57372.6813,0.0032,0,0.0,0.0,0.0,0.0,54.72,0.22,61.64,0.22,1.29,0.12,0.12,0.16,11.0,9.0,,2016AJnan.152nan11T,,PUB,JD,F8V,,05071862492-8351356420,21.1326,,6.800000190734862,,5.749000072479247,5.519999980926514,5.401000022888184,HD 35877
3523,1,9857.21125,206.0,56783.1,6.6,0,0.654,0.0061,70.7,0.87,4.55,0.29,11.78,0.26,4.6,,0.0,0.2,1.0,8.0,,2016AJnan.152nan11T,,PUB,JD,F8V,,05071862492-8351356420,32.74,31.241380996300002,,,7.047999999999999,6.4479999999999995,6.267,HD 35877
3524,1,20.349,0.00021,57255.9335,0.0326,0,0.4325,0.0029,43.22,0.67,41.17,0.25,43.71,0.25,7.52,0.11,0.63,0.48,17.0,15.0,,2016AJnan.152nan11T,,PUB,JD,K7V,,23002795355-2618427951,20.44,,8.73,7.91,5.968,5.627000000000001,5.529,HD 217379
3525,1,4.78149,2e-05,56970.0145,0.0018,0,0.0,,0.0,,27.59,0.09,31.2,0.09,49.05,0.05,0.13,0.12,11.0,11.0,,2016AJnan.152nan10T,,PUB,JD,G5V,,02035525101-4524464628,22.4133,,6.9619998931884775,,5.823999881744385,5.531000137329102,5.468999862670898,HD 12759
3526,1,2443.16716,2.1,54775.5755,2.5,0,0.4999,0.0015,191.24,0.59,7.44,0.04,8.05,0.04,-0.49,0.04,0.09,0.1,8.0,8.0,,2016AJnan.152nan10T,,PUB,JD,G3V,,02441461574-2529434164,22.8914,23.464982567899998,8.5,,7.573999881744385,7.146999835968018,7.01200008392334,HD 17134
3527,1,27.767940000000003,0.00331,56999.0625,0.0772,0,0.2738,0.0071,82.79,1.24,19.46,0.129,0.0,0.0,-0.322,0.066,0.006,,11.0,0.0,,2016AJnan.152nan10T,,PUB,JD,K0V?,,02441443172-2529555146,37.18,,,,,,,HD 17134
3528,1,221.38501000000002,0.013619999999999998,57013.9064,0.2181,0,0.8326,0.01,195.99,0.46,21.13,1.63,0.0,0.0,26.25,0.08,0.04,,38.0,0.0,,2016AJnan.152nan10T,,PUB,JD,F4V,,06044010202-4504441464,36.8071,,6.3499999046325675,,5.4089999198913565,5.14900016784668,5.043000221252441,HD 41742
3529,1,13.23091,0.00028,57004.9082,0.1183,0,0.2307,0.017,123.72,3.41,21.51,0.6,24.15,0.45,28.38,0.22,0.27,0.39,15.0,8.0,,2016AJnan.152nan10T,,PUB,JD,F8V,,06042844029-4502117736,22.89,22.5625886146,6.21999979019165,,5.181000232696533,4.984000205993652,4.813000202178955,HD 41700
3530,1,4.23345,0.0,57120.5074,0.004,0,0.0,0.0,0.0,0.0,85.17,0.4,85.36,0.4,15.36,0.24,0.22,0.18,10.0,10.0,,2016AJnan.152nan10T,,PUB,JD,G0V,,13125571565-5948597810,23.1077,,9.289999961853027,9.529999732971193,7.360000133514403,6.869999885559082,6.682000160217285,HD 114630
3531,1,0.24353000000000002,0.0,57119.4786,0.0004,0,0.0,0.0,0.0,0.0,29.54,0.18,63.08,0.64,19.59,0.16,0.53,1.84,21.0,15.0,,2016AJnan.152nan10T,,PUB,JD,K5V?,,131257561-59491970,1.1802,,12.260000228881836,,5.235000133514403,4.190999984741212,3.864000082015991,HD 114630
3532,1,2271.0,18.0,52673.0,31.0,0,0.40399999999999997,0.045,281.7,8.3,7.81,0.35,,,37.86,0.31,,,30.0,,,2017AJnan.153nan35F,FKL,PUB,JD,M7III,,10390870-5124125,0.6356,0.079573132006,10.199999809265137,,5.921000003814697,4.99399995803833,4.5929999351501465,GAIADR2 5360768073375283712
3533,1,624.36,0.8,51580.5,2.6,0,0.0,,0.0,,7.76,0.14,,,13.706,0.092,,,58.0,,,2017AJnan.153nan35F,FKL,PUB,JD,M4.5III,,11321001-6525116,0.1243,,14.300000190734865,,8.53600025177002,7.53000020980835,7.0980000495910645,HD 100336
3534,1,660.5,4.5,53226.4,6.1,0,0.0,,0.0,,7.92,0.55,,,-14.87,0.31,,,18.0,,,2017AJnan.153nan35F,FKL,PUB,JD,M6III,,12505810-5750465,8.852,9.32967656974,,9.600000381469727,8.892999649047852,8.520000457763674,8.442999839782715,GAIADR2 6060457617846295168
3535,1,5.7282,0.0003,54102.9539,0.0074,0,0.001,0.005,317.88,0.344,54.583999999999996,0.294,,,34.43,0.231,,,14.0,,,2011AJnan.142nan50F,PBX,PUB,JD,,,114610213+01411513,2.9687,2.7240591338,9.899999618530273,,8.875,8.640999794006348,8.562999725341799,GAIADR2 3796389182835724160
3536,1,6.2005,0.002,55236.8133,0.0554,0,0.16,0.01,158.9,0.01,65.366,0.516,84.086,1.297,45.026,0.35600000000000004,,,7.0,7.0,,2011AJnan.142nan50F,PBX,PUB,JD,,,1009388896+173452089,3.8664,3.5987772135400005,11.229999542236328,,10.472999572753906,10.175000190734863,10.116000175476074,GAIADR2 623233221034791552
3537,1,0.4223576,9.000000000000001e-07,53080.0249,0.0014,1,0.0,,0.0,,153.0,6.0,189.0,7.0,27.0,4.0,,,18.0,18.0,,2010A&Anan514A..36C,PBX,PUB,JD,,,200911190+32335370,23.5622,,9.84,,,,,GAIADR2 2054900890599013376
3538,1,1.3055431999999998,3.3e-07,56346.78397999999,0.00013000000000000002,1,0.0,,0.0,,99.38,,118.17,,-10.06,0.77,,,69.0,67.0,,2014AJnan.147..104K,PBX,PUB,JD,,,0930107492+533859805,10.4336,,8.420000076293945,,7.13700008392334,6.821000099182129,6.763999938964844,Misc 2MASS J09301078+5338593
3539,1,57.32244,0.00095,50437.58,0.11,0,0.303,0.0028,305.44,0.76,35.07,0.15,35.66,0.15,-0.865,0.069,0.72,0.73,48.0,48.0,,2007ApJnan662..602T,PBX,PUB,JD,G5,,12425536259+0515590762,10.4336,,8.420000076293945,,7.13700008392334,6.821000099182129,6.763999938964844,HD 110555
3540,1,76.7489,0.0059,50430.31,0.2,0,0.497,0.0091,67.6,1.5,30.47,0.4,37.39,1.17,-1.13,0.22,1.68,5.37,48.0,48.0,,2007ApJnan662..602T,PBX,PUB,JD,G5,,12425536259+0515590762,4.4822,,11.835000038146973,11.258999824523926,10.154999732971193,9.645999908447266,9.55799961090088,HD 110555
3541,1,2.96368196475,0.0002,56001.340317999995,0.0351,0,0.094,0.006,54.5972,3.9,106.24,0.7,117.24,0.6,11.08,0.55,20.2,9.3,21.0,16.0,,2017A&Anan608A..95M,PBX,PUB,JD,,,06404608+0949173,0.4172,,,,14.696999549865724,14.260000228881836,14.057000160217285,GAIADR2 3326716637659605760
3542,1,15.527999999999999,0.002,56470.530999999995,0.14,0,0.17,0.006,265.7,3.9,86.0,0.9,97.0,0.9,34.51,0.66,6.1,6.8,18.0,18.0,,2017A&Anan608A..95M,PBX,PUB,JD,,,19013257-0027338,50.7601,,6.9099998474121085,,5.425000190734863,5.011000156402588,4.916999816894531,Misc GES J19013257-0027338
3543,1,178.706,0.033,53156.6,0.5,0,0.169,0.0031,97.5,1.2,13.61,0.05,,,-37.38,0.03,0.2,,49.0,,,2010Obsnan130nan75G,PBX,PUB,MJD,G5,,14292229640+8048354758,4.5438,3.8678258042800002,9.010000228881836,,7.783999919891357,7.492000102996826,7.460999965667725,HD 128642
3544,1,174.74400000000003,0.02,54042.88,0.15,0,0.4836,0.0029,273.7,0.6,20.25,0.08,,,-33.78,0.06,0.36,,53.0,,,2010Obsnan130nan75G,PBX,PUB,MJD,K0,,1606006220+202100749,32.3038,,,8.579999923706055,7.22100019454956,6.75,6.664000034332275,HD 144601
3545,1,90.20299999999999,0.01,53214.97,0.17,0,0.33299999999999996,0.004,156.2,0.8,16.6,0.08,,,-60.42,0.05,0.39,,67.0,,,2010Obsnan130nan75G,PBX,PUB,MJD,K0,,1636098686+571922498,5.0999,5.14123745046,8.720000267028809,,7.035999774932861,6.5349998474121085,6.4629998207092285,HD 150172
3546,1,44.0805,0.0016,53260.63,0.24,0,0.14400000000000002,0.005,24.8,2.0,15.28,0.08,,,-33.04,0.05,0.34,,46.0,,,2010Obsnan130nan75G,PBX,PUB,MJD,K0,,1711480333+263715808,34.3507,,,6.699999809265138,5.771999835968018,5.428999900817871,5.3460001945495605,HD 155641
3547,1,553.206,0.037000000000000005,57163.64,0.19,0,0.4276,0.0012,222.21,0.22,10.549000000000001,0.015,15.85,0.1,-22.194000000000003,0.011000000000000001,0.024,0.215,29.0,12.0,,2018MNRAS.474..731K,PBX,PUB,JD,G6V,,07473058228+7012240014,39.4502,,8.100000381469728,,6.323999881744385,5.814000129699707,5.662000179290772,HD 61994
3548,1,1284.11,0.14,56493.58,0.37,0,0.5119,0.0012,244.75,0.2,9.615,0.013000000000000001,12.53,0.078,-9.722000000000001,0.011000000000000001,0.016,0.203,47.0,47.0,,2018MNRAS.474..731K,PBX,PUB,JD,K2Ve,,12311891858+5507076155,45.6099,,5.789999961853027,,4.9099998474121085,4.65500020980835,4.53000020980835,HD 109011
3549,1,37.088,0.0067,56618.21,0.93,0,0.07400000000000001,0.012,155.7,8.7,10.07,0.14,,,-2.28,0.08,0.38,,27.0,0.0,,2018MNRAS.475.1375G,TOK,PUB,JD,F8V,,024012422-09271036,19.63,,7.230000019073486,,6.152999877929688,5.876999855041504,5.749000072479247,HD 16673
3550,1,250.82,0.16,57255.97,0.68,0,0.42,0.006,344.9,1.3,20.45,0.19,23.9,0.2,7.35,0.09,0.55,0.54,32.0,19.0,,2018MNRAS.475.1375G,TOK,PUB,JD,F8V,,034938648-02194284,16.4949,,7.730000019073486,,6.76800012588501,6.552999973297119,6.452000141143799,HD 24031
3551,1,15.323,0.0005,56600.957,0.03,0,0.5131,0.006,197.0,0.9,25.79,0.36,,,-9.54,0.11,0.82,,21.0,0.0,,2018MNRAS.475.1375G,TOK,PUB,JD,F5V,,055457467-12561953,20.1481,21.9420306671,7.183000087738037,,6.122000217437744,5.883999824523926,5.806000232696532,HD 39899
3552,1,73.35600000000001,0.034,56919.04,1.27,0,0.255,0.098,221.0,10.7,9.73,1.13,,,-18.12,0.68,0.68,,14.0,0.0,,2018MNRAS.475.1375G,TOK,PUB,JD,F8,,064454918+20513833,14.3918,,8.359999656677246,,7.0970001220703125,6.765999794006348,6.695000171661378,HD 48565
3553,1,66.5,0.006,57143.82,0.16,0,0.266,0.003,251.7,1.1,27.23,0.11,,,6.3,0.08,0.76,,33.0,0.0,,2018MNRAS.475.1375G,TOK,PUB,JD,F7II,,075440421+38055753,14.4254,14.640126453399999,8.670000076293945,,7.467000007629394,7.164000034332275,7.0869998931884775,HD 60552
3554,1,22.5139,0.0004,57329.780999999995,0.017,0,0.555,0.005,348.2,0.4,37.97,0.38,,,13.43,0.1,1.48,,30.0,0.0,,2018MNRAS.475.1375G,TOK,PUB,JD,G0,,075937931+48463406,14.915,,8.159999847412111,,7.14900016784668,6.886000156402588,6.848999977111816,HD 65156
3555,1,58.206,0.01,56902.867,1.2,0,0.11800000000000001,0.013000000000000001,286.5,7.8,16.0,0.28,,,-47.31,0.2,0.8,,14.0,0.0,,2018MNRAS.475.1375G,TOK,PUB,JD,F6V,,081553355+02272544,16.0988,16.7029096043,7.5900001525878915,,6.589000225067139,6.4679999351501465,6.3369998931884775,HD 69151
3556,1,70.69,0.06,57602.08,2.81,0,0.10300000000000001,0.023,325.1,13.9,8.18,0.19,,,-3.52,0.15,0.79,,13.0,0.0,,2018MNRAS.475.1375G,TOK,PUB,JD,F8,,084550066+20012020,13.1604,12.964195475999999,7.28000020980835,,6.208000183105469,6.00600004196167,5.910999774932861,HD 74655
3557,1,200.23,0.18,57207.92,2.92,0,0.127,0.01,201.0,5.1,16.86,0.11,,,-10.11,0.16,0.52,,34.0,0.0,,2018MNRAS.475.1375G,TOK,PUB,JD,F8V,,150349286+26021946,18.6147,18.4771340825,7.71999979019165,,6.666999816894531,6.4749999046325675,6.3959999084472665,HD 133460
3558,1,9.0752,0.0002,57245.949,0.028999999999999998,0,0.196,0.004,35.8,1.3,27.66,0.12,,,-26.79,0.08,0.66,,28.0,0.0,,2018MNRAS.475.1375G,TOK,PUB,JD,F5,,161015732+40332056,25.3489,,6.6500000953674325,,5.710999965667725,5.474999904632568,5.375999927520752,HD 145605
3559,1,1297.0,16.0,56652.7,12.2,0,0.358,0.032,11.7,3.7,6.61,0.42,,,-17.6,0.13,0.65,,17.0,0.0,,2018MNRAS.475.1375G,TOK,PUB,JD,F7V,,171850433-02483811,18.0287,18.329406567,7.1,,6.105,5.856,5.785,HD 156635
3560,1,4.26928,1e-05,57286.71599999999,0.043,0,0.037000000000000005,0.001,246.2,3.6,58.83,0.17,82.7,0.28,-22.95,0.08,0.92,0.8,40.0,15.0,,2018MNRAS.475.1375G,TOK,PUB,JD,F8V,,180601606-08063100,18.37,,,,,,,HD 165360
3561,1,587.76,2.88,55532.64,9.17,0,0.36200000000000004,0.064,0.4,6.2,4.17,0.21,,,2.34,0.15,0.25,,22.0,0.0,,2018MNRAS.475.1375G,TOK,PUB,JD,F5V,,184646353-14275538,15.898,,8.14,,7.108,6.882999999999999,6.827999999999999,HD 173614
3562,1,265.81,0.54,57258.68,4.4,0,0.177,0.022000000000000002,110.6,6.4,5.96,0.12,,,29.91,0.09,0.69,,28.0,0.0,,2018MNRAS.475.1375G,TOK,PUB,JD,F8,,211014251+20443705,24.3027,,,6.199999809265138,5.611000061035156,5.394999980926514,5.322000026702881,HD 201639
3563,1,1635.0,20.0,56207.2,6.1,0,0.49200000000000005,0.04,57.5,2.3,5.01,0.36,,,-2.87,0.09,0.52,,51.0,0.0,,2018MNRAS.475.1375G,TOK,PUB,JD,G8IV,,224342697+10562170,37.437,,7.728000164031982,7.2870001792907715,6.230000019073486,5.821000099182129,5.741000175476074,HD 215243
3564,1,205.8,0.025,53893.2,0.4,0,0.302,0.004,253.5,1.0,10.43,0.05,,,24.95,0.04,0.2,,48.0,,,2013Obsnan133nan.1G,PBX,PUB,MJD,G9V,,05064221692+1426464454,16.3181,,,7.800000190734862,7.047999858856201,6.75,6.688000202178955,HD 32850
3565,1,1506.4,2.4,53071.4,2.7,0,0.45899999999999996,0.006,205.2,1.0,10.94,0.08,,,9.22,0.06,0.29,,40.0,,,2013Obsnan133nan.1G,PBX,PUB,MJD,G2V,,12405013432+4031176426,19.398,,,6.800000190734862,5.7940001487731925,5.368000030517578,5.298999786376953,HD 110314
3566,1,389.92,0.16,53427.0,3.0,0,0.099,0.004,260.0,3.0,10.35,0.05,13.15,0.17,-92.73,0.04,0.21,,41.0,41.0,,2013Obsnan133nan.1G,PBX,PUB,MJD,G9,,1524179520+603257836,19.67,,7.420000076293945,,6.173999786376952,5.88100004196167,5.787000179290772,HD 137687
3567,1,619.3,1.4,53802.2,3.4,0,0.406,0.013999999999999999,43.2,2.6,8.39,0.14,,,4.55,0.09,0.53,,41.0,,,2013Obsnan133nan.1G,PBX,PUB,MJD,G0,,15314287934+0053006807,17.4488,,,8.0,7.144000053405763,6.831999778747559,6.758999824523926,HD 138369
3568,1,891.4,2.7,53470.0,11.0,0,0.24600000000000002,0.019,96.0,5.0,2.61,0.06,,,-50.89,0.04,0.27,,61.0,,,2013Obsnan133nan.1G,PBX,PUB,MJD,K0,,17122989853+6918159010,18.1047,18.8960177448,7.473999977111816,,6.40500020980835,6.175000190734862,6.129000186920166,HD 156558
3569,1,1014.8,1.8,53655.4,2.0,0,0.614,0.009000000000000001,192.1,1.5,10.7,0.17,,,18.12,0.1,0.57,,62.0,,,2013Obsnan133nan.1G,PBX,PUB,MJD,F8,,1908164938+252229069,12.4477,,,7.9000000953674325,7.065999984741211,6.76800012588501,6.730000019073486,HD 178593
3570,1,824.4,0.34,53818.8,0.8,0,0.687,0.006,155.3,1.1,6.6,0.07,,,-50.38,0.05,0.35,,66.0,,,2013Obsnan133nan.1G,PBX,PUB,MJD,G5,,1928418001+343640174,20.7525,29.670401720799997,7.699999809265138,,6.5960001945495605,6.353000164031982,6.250999927520753,HD 183536
3571,1,516.4,0.29,53945.5,0.9,0,0.616,0.008,201.8,1.5,3.97,0.06,,,-51.03,0.04,0.26,,63.0,,,2013Obsnan133nan.1G,PBX,PUB,MJD,F8,,1952525643+410449806,26.6014,19.0088045521,8.260000228881836,,7.058000087738037,6.697000026702881,6.660999774932861,HD 188307
3572,1,798.6,2.0,54170.0,6.0,0,0.302,0.015,140.2,3.3,4.12,0.08,,,9.0,0.05,0.31,,52.0,,,2013Obsnan133nan.1G,PBX,PUB,MJD,G5,,2020036455+233817172,4.5878,4.35984582421,10.34000015258789,,9.303000450134276,9.04300022125244,9.062999725341797,HD 193554
3573,1,29.9335,0.0013,48972.23,0.19,0,0.22899999999999998,0.008,141.4,2.5,15.02,0.008,,,7.1,0.1,,,64.0,,,2001JApAnan22..187G,PBX,PUB,JD,F9V,,1212297256+160412429,2.7586,3.08605941282,8.680000305175781,,6.883999824523926,6.386000156402588,6.2810001373291025,HD 106104
3574,1,1828.0,3.0,48092.0,22.0,0,0.17300000000000001,0.012,199.0,4.0,6.42,0.07,,,74.67,0.06,,,105.0,,,2001JApAnan22..187G,PBX,PUB,JD,K0III,,1233292864+300225228,2.9114,4.63733230041,7.690000057220459,,5.1589999198913565,4.3449997901916495,4.287000179290772,HD 109281
3575,1,1513.8,2.4,48934.0,19.0,0,0.16,0.01,240.0,5.0,5.03,0.07,,,-33.29,0.04,,,78.0,,,2001JApAnan22..187G,PBX,PUB,JD,K5III-IV,,1234456850+241327107,30.4225,,,8.199999809265138,7.256999969482423,6.89900016784668,6.798999786376952,HD 109463
3576,1,822.1,0.7,47984.1,1.7,0,0.0,,0.0,,6.37,0.08,,,-3.59,0.06,,,93.0,,,2001JApAnan22..187G,PBX,PUB,JD,K1V,,12435436414+3420373810,1.3387,,,,13.13599967956543,12.776000022888185,12.510000228881836,HD 110743
3577,1,0.2222031,3e-07,50801.6352,0.0016,14,0.0,,0.0,,77.0,4.0,,,-41.0,3.0,19.0,,166.0,,,2010PASP..122.1285T,PBX,PUB,JD,,,00284883+5917220,1.3674,,,,14.279999732971193,13.609999656677244,13.34000015258789,GAIADR2 428101969045877504
3578,1,0.313902,8e-06,54528.802,0.003,14,0.0,,0.0,,77.0,5.0,,,1.0,3.0,15.0,,41.0,,,2010PASP..122.1285T,PBX,PUB,JD,,,03451160+5335145,0.6321,,,,14.324000358581545,13.6850004196167,13.236000061035154,GAIADR2 444083336189584128
3579,1,0.415883,1.3000000000000001e-05,53617.988,0.006,14,0.0,,0.0,,212.0,13.0,,,21.0,11.0,30.0,,21.0,,,2010PASP..122.1285T,PBX,PUB,JD,,,05022748+2445232,1.2902,,,,15.781000137329102,15.119999885559082,14.758000373840332,GCVS V1062 Tau
3580,1,0.23079000000000002,0.0017,54525.633,0.002,14,0.0,,0.0,,86.0,4.0,,,-27.0,3.0,15.0,,41.0,,,2010PASP..122.1285T,PBX,PUB,JD,,,06151895+1530593,,,12.800000190734865,,14.196999549865724,13.663999557495115,13.343999862670898,GAIADR2 3345789487910734464
3581,1,0.1487,0.0003,51994.6631,0.0012,14,0.0,,0.0,,85.0,5.0,,,59.0,3.0,16.0,,42.0,,,2010PASP..122.1285T,PBX,PUB,JD,,,09443171+0358056,1.2537,,15.5,,13.720000267028807,13.201000213623047,13.057000160217285,GAIADR2 3848210123629587072
3582,1,0.37630759999999996,1.1e-06,54277.7603,0.0016,14,0.0,,0.0,,127.0,4.0,,,-3.0,3.0,12.0,,46.0,,,2010PASP..122.1285T,PBX,PUB,JD,,,105756301+09231497,0.3885,,,,16.047000885009766,15.55500030517578,15.350000381469727,GAIADR2 3867599701948235648
3583,1,0.629049,5e-06,53182.904,0.006999999999999999,14,0.0,,0.0,,138.0,10.0,,,6.0,7.0,41.0,,51.0,,,2010PASP..122.1285T,PBX,PUB,JD,,,17210562+2339365,0.3154,,,,15.609999656677244,15.329999923706055,14.84000015258789,GAIADR2 4570041951104724096
3584,1,0.2861,0.0007,54648.932,0.003,14,0.0,,0.0,,138.0,11.0,,,6.0,7.0,41.0,,53.0,,,2010PASP..122.1285T,PBX,PUB,JD,,,190150563-13094200,1.4948,,,,12.513999938964846,12.008000373840332,11.824999809265135,HD 176654
3585,1,0.867547,1.9e-05,53562.065,0.012,14,0.0,,0.0,,55.0,5.0,,,47.0,3.0,17.0,,101.0,,,2010PASP..122.1285T,PBX,PUB,JD,,,19072187-2046505,2.0471,,,15.039999961853027,12.769000053405762,12.600000381469727,12.381999969482422,GAIADR2 4082090647900737152
3586,1,0.21773499999999998,3e-06,54277.9139,0.0016,14,0.0,,0.0,,96.0,6.0,,,-33.0,4.0,12.0,,31.0,,,2010PASP..122.1285T,PBX,PUB,JD,,,19163814+0007376,,,,,15.144000053405762,14.59000015258789,14.517000198364258,GCVS FO Aql
