Seq|Star|RAJ2000|DEJ2000|Dist|n_Dist|Age|Hmag|SpType|MA|l_MB|MB|l_rho|rho|l_Per|Per|x_Per|l_Ecc|Ecc|l_acrit|acrit|Ref|SimbadName
 84|PGZ2001 J160341.8-200557 |16 03 41.870|-20 05 57.80|145.00| |  11| 9.760|M2        | 0.370| | 0.370|  |        | |         |  | |      |< | 5.000|L14                    |PGZ2001 J160341.8-200557
 85|1RXJ 160355.8-203138     |16 03 54.964|-20 31 38.38|145.00| |  11| 8.890|M0        | 0.610| | 0.560|  | 0.07800| |         |  | |      |  |33.500|L14                    |1RXS J160355.8-203138
 86|1RXS J160446.5-193031    |16 04 47.760|-19 30 23.10|145.00| |  11| 8.270|K2IV      | 1.120| | 0.740|  | 0.04318| |         |  | |      |  |23.700|L14                    |1RXS J160446.5-193031
 87|PGZ2001 J160545.4-202308 |16 05 45.400|-20 23 08.80|145.00| |  11|10.750|M2        | 0.370| | 0.370|  |        | |         |  | |      |< | 5.000|L14                    |PGZ2001 J160545.4-202308
 88|HIP 78977                |16 07 17.790|-21 55 36.30|116.70| |  11| 7.150|F8V       | 1.440| | 1.930|  |        | |   33.945|  | | 0.265|  | 0.390|J13                    |HIP 78977
 89|1RXS J160814.2-190845    |16 08 14.740|-19 08 32.80|145.00| |  11| 8.600|K2        | 1.120| | 0.210|  | 0.02460| | 2045.000|  | | 0.200|  |10.140|L14                    |1RXS J160814.2-190845
 90|HIP 79097                |16 08 43.660|-25 22 36.70|200.80| |  11| 7.330|F3        | 1.560|~| 1.500|~ | 0.03000| |         |  | |      |~ |18.000|JL13                   |HIP 79097
 91|HIP 79404                |16 12 18.210|-27 55 35.00|146.84| |  11| 5.010|B2V       | 7.800| | 1.120|  |        | |    5.780|  | | 0.190|  | 0.370|L14                    |HIP 79404
 92|1RXS J161318.0-221251    |16 13 18.590|-22 12 48.90|145.00| |  11| 7.590|G9        | 1.700| | 1.650|  |        | |  166.900|  | | 0.226|  | 2.700|L14                    |1RXS J161318.0-221251
 93|HIP 79643 B              |16 15 09.270|-23 45 34.80|210.97| |  11| 8.150|---       | 0.760| | 0.290|  | 0.04700| |         |  | |      |  |38.320|L14                    |HIP 79643
 94|HIP 81266                |16 35 52.960|-28 12 57.70|145.35| |  11| 3.480|B0V       |16.000| | 4.800|  | 0.02152| |         |  | |      |  |12.080|L14                    |HIP 81266
 95|HIP 84586                |17 17 25.500|-66 57 04.00| 31.45| |  24| 4.910|K1        | 1.059| | 0.986|  |        | |    1.680|  | | 0.000|  | 0.070|CH10, SONG             |HIP 84586
 96|HIP 84642                |17 18 14.650|-60 27 27.52| 58.90| |  45|      |G8V       | 0.900| | 0.400|  | 0.22000| |         |  | |      |  |49.700|SONG                   |HIP 84642
 97|HIP 86346                |17 38 39.810|+61 14 14.00| 33.12| | 149| 7.000|K7        | 0.690| | 0.540|  | 0.21300| | 3764.000|  | | 0.636|  |19.900|GDPS                   |HIP 86346
 98|HIP 88848                |18 08 16.030|+29 41 28.10| 34.38| | 125| 5.760|G6V       | 1.270| | 0.790|  | 0.06300| |    5.750|yr| | 0.765|  |17.130|GDPS                   |HIP 88848
 99|CD -641208Aab            |18 45 37.000|-64 51 44.60| 28.55| |  24| 6.310|K7        | 0.880| | 0.430|  | 0.17400| |         |  | |      |  |22.800|CH10, SONG             |CD -64 1208
